,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,FB.rbs_crank.x,FB.rbs_crank.y,FB.rbs_crank.z,FB.rbs_crank.e0,FB.rbs_crank.e1,FB.rbs_crank.e2,FB.rbs_crank.e3,FB.rbs_rocker.x,FB.rbs_rocker.y,FB.rbs_rocker.z,FB.rbs_rocker.e0,FB.rbs_rocker.e1,FB.rbs_rocker.e2,FB.rbs_rocker.e3,FB.rbs_coupler.x,FB.rbs_coupler.y,FB.rbs_coupler.z,FB.rbs_coupler.e0,FB.rbs_coupler.e1,FB.rbs_coupler.e2,FB.rbs_coupler.e3,time
283,0.0,0.0,0.0,1.0,9.75127894408705e-22,1.0378107823674341e-22,-8.740994650950497e-23,-3.156580492106481e-20,-49.36255499183655,-86.96745462927385,-0.25526990980925096,-0.9668698325764431,8.413319293367013e-23,1.3216136868138144e-22,-357.93375851710414,-850.0,366.7157364068217,0.9541238780055367,3.965418190971851e-22,0.2994121330576778,-1.6838340960472563e-23,-157.93375851710417,-474.36255499183653,279.74828177754785,0.9445667796725845,-0.05462858982074043,0.32324627214959967,-0.017921033883175865,2.835671342685371
284,0.0,0.0,0.0,1.0,-5.368681376292889e-22,-1.834533483782148e-21,-5.735762155055957e-23,1.95169149928779e-19,-46.60091350124239,-88.47799082747423,-0.24002092796884283,-0.9707677137901723,1.2459139224257449e-21,-1.3164898641848618e-21,-349.75181250226245,-850.0,365.68445366725206,0.9507196977011518,-9.927582135073888e-23,0.3100516995683593,-1.0574416785925708e-22,-149.75181250226242,-471.6009135012424,277.2064628397778,0.9416912050205141,-0.05171878915217295,0.3320606549424035,-0.01669019699344576,2.845691382765531
285,0.0,0.0,0.0,1.0,5.845792303862713e-22,-1.75989677004919e-21,1.6874064140953395e-22,1.6649128786591652e-19,-43.79309803920479,-89.9008596407481,-0.2247124869620252,-0.9744251116446887,1.2217374672838055e-21,-1.1361317433457818e-21,-341.72020037537254,-850.0,364.4906925509849,0.9472519600201934,6.059895504443248e-22,0.3204898192452755,8.849927287134478e-23,-141.72020037537254,-468.7930980392048,274.5898329102368,0.9387751735998568,-0.04873842386763463,0.34071406612371835,-0.015481105181907628,2.8557114228456912
286,0.0,0.0,0.0,1.0,-6.954894180274222e-22,-3.3776638337086258e-21,9.888324376254577e-24,2.147072082244094e-19,-40.94189069691512,-91.23465123613255,-0.20934837907120007,-0.9778411201113826,3.0834377440036754e-21,-1.7548795950521213e-21,-333.844969913879,-850.0,363.14392738248006,0.9437280088153097,4.922055457262831e-22,0.330722610928351,1.2870729732815746e-23,-133.844969913879,-465.9418906969151,271.9092761463475,0.9358225465845552,-0.04569062191868511,0.349205136924801,-0.014293380241373171,2.8657314629258517
287,0.0,0.0,0.0,1.0,1.487457109348594e-21,1.3333458235100952e-21,-3.1300662443144837e-22,-5.557256389896925e-20,-38.05011655990292,-92.47804404178699,-0.19393241036884365,-0.9810148929598127,-1.1993209122571647e-21,5.0461357587792965e-22,-326.13134860838267,-850.0,361.6537326531512,0.940155070400868,5.585166007481173e-22,0.34074689081655946,-1.4614950418785073e-22,-126.13134860838267,-463.0501165599029,269.1756886113642,0.9328370612526354,-0.04257857230259794,0.35753290408000743,-0.013126493630036241,2.875751503006012
288,0.0,0.0,0.0,1.0,2.892827565725603e-22,-5.955612807686423e-23,1.7293994825353395e-22,4.199032818618677e-20,-35.12064090883358,-93.62980605645649,-0.17846839977465095,-0.9839456439673371,-2.751023918237742e-22,-1.6218637695026378e-22,-318.58379604671,-850.0,360.0297234036842,0.9365402354043085,-7.117762716255547e-22,0.3505601053604366,-2.2064370007905924e-22,-118.58379604671002,-460.1206409088336,266.39991734722776,0.9298223348382489,-0.03940552112450478,0.3656967534443462,-0.0119797772009924,2.885771543086172
289,0.0,0.0,0.0,1.0,1.2404896884577457e-21,2.6355668637523856e-21,-2.6797630463922116e-23,-3.3313723552804557e-19,-32.15636638047689,-94.68879607018681,-0.1629601781094859,-0.9866326471138824,-1.3524049722098336e-21,1.890479325857464e-21,-311.20605744494407,-850.0,358.28150352169376,0.9328904450025901,7.129324576439123e-22,0.36016026658174505,2.6507715590020863e-22,-111.20605744494404,-457.1563663804769,263.59270745150695,0.9267818710120814,-0.03617476800411324,0.373696366589774,-0.010852433895341854,2.8957915831663326
290,0.0,0.0,0.0,1.0,4.1427778769085795e-22,1.7722876510994995e-21,-8.641285752344478e-23,-1.3942297485516086e-19,-29.160230091664687,-95.65396479507822,-0.14741158714639946,-0.9890752367617954,-1.322744294666166e-21,8.925935633194523e-22,-304.0012175654917,-850.0,356.4186215271019,0.9292124811481416,-2.648815044804848e-22,0.36954589008644423,-9.658561539594147e-25,-104.00121756549169,-454.1602300916647,260.76465673202364,0.9237190686342354,-0.032889662799114414,0.38153167049211245,-0.009743548358429372,2.905811623246493
291,0.0,0.0,0.0,1.0,-4.438565661849169e-22,-2.9162844066571454e-22,2.7558971395248507e-25,-7.861549328857465e-20,-26.1352007290829,-96.52435590496026,-0.13182647865892633,-0.9912728078207381,7.908614925023275e-22,2.9839212855429763e-22,-296.9717543818014,-850.0,354.4505333681775,0.9255129603953617,6.733371005960847e-23,0.37871593594856673,8.824399947816017e-24,-96.97175438180139,-451.1352007290829,257.92617746321724,0.9206372324447104,-0.029553602618280984,0.3892027903538666,-0.00865209744762597,2.915831663326653
292,0.0,0.0,0.0,1.0,3.205416652871517e-22,8.097763191857374e-22,-4.6524684825930134e-23,-1.6411798912949156e-19,-23.0842756077815,-97.29910698295681,-0.11620871346689697,-0.9932248158975846,-2.6018299427918552e-23,8.340234109029714e-22,-290.1195919606617,-850.0,352.38657172092707,0.9217983309519279,1.8974579446946535e-22,0.3876697525669941,6.022832003380867e-23,-90.11959196066168,-448.08427560778154,255.08746473797024,0.9175395853804152,-0.02617002909879661,0.3967100055525596,-0.0075769606076005105,2.9258517034068134
293,0.0,0.0,0.0,1.0,6.667589455139352e-22,7.27517390467913e-22,1.7637455809112176e-22,-1.1618491052304412e-19,-20.010477701321363,-97.97745037600137,-0.10056216048002423,-0.9949307774312806,-3.920378927668637e-22,6.483293916915826e-22,-283.4461521349914,-850.0,350.23592127015894,0.9180748725971948,8.168678127060809e-22,0.39640702353351026,4.425126637230363e-22,-83.4461521349914,-445.01047770132135,252.2584708941576,0.9144292822330214,-0.022742425924393645,0.40405370865847656,-0.006516930095379309,2.935871743486974
294,0.0,0.0,0.0,1.0,9.352438174346398e-23,-2.045646169313444e-21,-5.427768077353847e-23,3.436638435772963e-19,-16.916852646496036,-98.5587139554572,-0.08489069573947701,-0.9963902698126321,5.240567163318612e-22,-1.7567655265731406e-21,-276.9524046321606,-850.0,348.0075994490226,0.9143486991312745,4.162154374905728e-22,0.4049277174977578,1.8610953323972361e-22,-76.95240463216058,-441.916852646496,249.44888549356546,0.9113094243880046,-0.01927431656327418,0.4112343674287986,-0.005470721042726918,2.9458917835671343
