,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,PD.rbs_crank.x,PD.rbs_crank.y,PD.rbs_crank.z,PD.rbs_crank.e0,PD.rbs_crank.e1,PD.rbs_crank.e2,PD.rbs_crank.e3,time
141,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.598380735333871e-16,-108.54728517843982,225.2054326240137,-0.5318885500268453,-0.8468143659402148,4.4944499207163815e-15,7.15654517407186e-15,0.7058823529411765
142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.7348895476974553e-16,-104.88620362124674,226.93365619214342,-0.5387277538949948,-0.8424799150572816,4.58144583559307e-15,7.165628737795824e-15,0.7108886107634543
143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.8751617390991545e-16,-101.27547860561333,228.5678836635249,-0.5453888913531095,-0.8381831286931752,4.667445840066612e-15,7.174237413225687e-15,0.7158948685857321
144,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0192778422167563e-16,-97.71345233163076,230.11319222745703,-0.5518814142050928,-0.8339226011267663,4.752480447549759e-15,7.182348616877779e-15,0.7209011264080101
145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.167309540705142e-16,-94.19951795062426,231.57385608122001,-0.558212293042718,-0.8296981595171319,4.83657746940572e-15,7.189975814804365e-15,0.7259073842302879
146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.319300220463535e-16,-90.73688996672341,232.952391762416,-0.5643812719603482,-0.8255142518305447,4.91975422784284e-15,7.19724642024764e-15,0.7309136420525657
147,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.475323494712403e-16,-87.32574646269407,234.252457879628,-0.5703932916147766,-0.8213717142395127,5.00203784513173e-15,7.204200196257031e-15,0.7359198998748435
148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.6354816129065394e-16,-83.96380188905856,235.47840661745863,-0.5762572309722866,-0.8172683792949633,5.0834626584783026e-15,7.210808230377413e-15,0.7409261576971214
149,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.799870562909772e-16,-80.64956679639826,236.63399456368296,-0.5819801254554346,-0.8132030088517346,5.164060551284025e-15,7.217066989458118e-15,0.7459324155193993
150,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9685555112323076e-16,-77.38478832395467,237.72167458344904,-0.5875631229308272,-0.8091783342964348,5.243853485885771e-15,7.223064506761873e-15,0.7509386733416771
