,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,SG.rbs_table.x,SG.rbs_table.y,SG.rbs_table.z,SG.rbs_table.e0,SG.rbs_table.e1,SG.rbs_table.e2,SG.rbs_table.e3,SG.rbs_link_1.x,SG.rbs_link_1.y,SG.rbs_link_1.z,SG.rbs_link_1.e0,SG.rbs_link_1.e1,SG.rbs_link_1.e2,SG.rbs_link_1.e3,SG.rbs_link_2.x,SG.rbs_link_2.y,SG.rbs_link_2.z,SG.rbs_link_2.e0,SG.rbs_link_2.e1,SG.rbs_link_2.e2,SG.rbs_link_2.e3,SG.rbs_link_3.x,SG.rbs_link_3.y,SG.rbs_link_3.z,SG.rbs_link_3.e0,SG.rbs_link_3.e1,SG.rbs_link_3.e2,SG.rbs_link_3.e3,SG.rbs_rocker_1.x,SG.rbs_rocker_1.y,SG.rbs_rocker_1.z,SG.rbs_rocker_1.e0,SG.rbs_rocker_1.e1,SG.rbs_rocker_1.e2,SG.rbs_rocker_1.e3,SG.rbs_rocker_2.x,SG.rbs_rocker_2.y,SG.rbs_rocker_2.z,SG.rbs_rocker_2.e0,SG.rbs_rocker_2.e1,SG.rbs_rocker_2.e2,SG.rbs_rocker_2.e3,SG.rbs_rocker_3.x,SG.rbs_rocker_3.y,SG.rbs_rocker_3.z,SG.rbs_rocker_3.e0,SG.rbs_rocker_3.e1,SG.rbs_rocker_3.e2,SG.rbs_rocker_3.e3
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,430.0,1.0,0.0,0.0,0.0,-50.0,-430.0,215.0,1.0,0.0,0.0,0.0,88.5,215.0,215.0,1.0,0.0,0.0,0.0,-88.5,215.0,215.0,1.0,0.0,0.0,0.0,-50.0,-430.0,0.0,1.0,0.0,0.0,0.0,88.5,215.0,0.0,1.0,0.0,0.0,0.0,-88.5,215.0,0.0,1.0,0.0,0.0,0.0
1,-5.121442751348781e-22,6.086290412306746e-22,4.5106592687573037e-23,1.0,-4.0783828257387914e-25,4.436582704839509e-25,-5.71311947796908e-25,0.04784051045116557,-0.030864604923872857,435.11514639536705,0.9999845032502575,0.0030168712434355724,0.0046761213528641815,6.382398310104037e-06,-49.9634852973589,-430.0115131316902,217.52174184420943,0.999999755572554,0.00018300866045826405,1.0871674239309061e-05,0.0006717725011534965,88.58678236993055,214.98545616035892,220.10266795681596,0.9999997460633537,0.0001926017624535154,-9.70026734137306e-05,0.0006762872298775167,-88.61572594646351,214.97976006394552,222.6717772936283,0.999999686204096,0.00019938327869197488,0.0004022491116902231,-0.0006496568030794085,-49.98408382123075,-430.0,1.2614160112664718,0.9999204062286345,-7.247223461563514e-25,0.012615164201159889,-8.608548452044626e-25,88.56424242300012,215.0,2.546439195791964,0.9996819173668585,5.961895268115852e-25,0.025220291401964703,-2.871580437038625e-25,-88.644348241338,215.0,3.815612294544724,0.9992851767679066,1.1998902455283744e-25,-0.037805363702219964,1.1605208392082473e-25
2,-1.6572517126465101e-22,1.5415001193121253e-22,7.616608049871084e-22,1.0,-1.0440739475473243e-25,2.3746524501505566e-24,-1.2347039769287049e-24,0.19410111982111297,-0.12458591821134274,440.2557978425168,0.9999367880357958,0.006073023496016633,0.009461040500334741,2.631650000053307e-05,-49.852732371420075,-430.0464279043722,220.03778365868433,0.9999989738430622,0.0004256162116963498,4.648402800069808e-05,0.001365577452067888,88.84745531288948,214.9414188156532,225.19853619657383,0.9999988773828122,0.00045806121543306766,-0.0003835260026264839,0.001372566085875733,-88.95710270962967,214.918130211402,230.33633276559766,0.9999977947766804,0.0004852163499260403,0.0016030860352115324,-0.0012645875241719122,-49.93639174887849,-430.0,2.521226831016313,0.9996818984316334,-1.9462110001818333e-25,0.02522029092426081,-7.712945356279113e-25,88.75615315747636,215.0,5.079945513903729,0.9987311096264901,-2.0886932106576883e-24,0.050360392053353256,-1.3889895153849542e-24,-89.0732928564898,215.0,7.587783512160538,0.9971579045029294,-6.639664811954312e-26,-0.07534069487698833,-9.14581388745101e-25
3,-6.761404201917969e-22,8.439468208939889e-22,1.575276581309018e-23,1.0,1.4717782558097252e-25,9.549540694460966e-27,-6.370233282140161e-25,0.4380124368290432,-0.28074844800058674,445.38033371180995,0.9998570676765002,0.009123800609273673,0.014232717018955843,5.96717771176231e-05,-49.668250391864255,-430.1045721483944,222.5449615479118,0.999997584826988,0.0007250519832797468,0.0001062356663852571,0.0020709764399854027,89.27923646593446,214.86806797931862,230.26147966888914,0.9999971552208027,0.0007933351431469324,-0.0008547902140892706,0.002079550184184378,-89.51239280348219,214.81538149707495,237.90422421610376,0.9999915635522114,0.0008536063619519433,0.0035720111251547793,-0.001837233522835708,-49.85707352390834,-430.0,3.777833392358414,0.9992851023556618,6.099501201545788e-25,0.037805360887025644,-7.75537167348724e-25,89.07329831639547,215.0,7.58778268237255,0.9971578499791214,1.57518069234804e-24,0.07534069075741862,-1.3929260866455196e-24,-89.77465017714268,215.0,11.274548790458756,0.9936698404206313,7.193095452250927e-25,-0.11234032814952159,-1.971897073949983e-24
4,-1.5685102863312598e-23,3.7123909707717376e-22,-2.3906753741140142e-23,1.0,-1.0133421276157233e-24,-1.5663601427908145e-24,3.5864809080894344e-24,0.7720099182185234,-0.49605557661505206,450.44721166037874,0.9997485672729769,0.012122972757761684,0.018862615657357824,0.00010444216065321698,-49.41380587784287,-430.1848217995962,225.04083994588183,0.9999955545323923,0.001075538654364926,0.00018243474491132152,0.0027742174866744996,89.87493240271561,214.7666682931328,235.2663471746954,0.999994271235023,0.0011920683666876907,-0.001508904945471303,0.0027846016499910617,-90.26650807408365,214.6740701415408,245.28768830342764,0.9999768290712439,0.001296124140431004,0.006250546234332234,-0.0023620082937298465,-49.74638115458245,-430.0,5.029648835830921,0.9987310909772968,-8.604269127747396e-25,0.050360391112979346,3.7682570648644e-24,89.51167192608143,215.0,10.057602333667228,0.9949791175400252,1.7068885907255348e-25,0.10008272472252391,3.847391561370488e-24,-90.72868719803766,215.0,14.836806763938633,0.9889053729456994,1.0947978341270098e-24,-0.1485471521234682,2.8200802406728818e-24
5,-3.247702655520001e-23,-2.834223918565436e-22,-4.9725347917909136e-24,1.0,1.5975567537578285e-24,6.106853477210258e-25,3.3740099790112315e-24,1.1819340649697805,-0.7644307439384409,455.41645116800237,0.9996173959594904,0.015024490709952988,0.023222312029682723,0.00015683023133540385,-49.0963160318954,-430.2851330172338,227.52370487070453,0.9999929034935103,0.0014684897728281692,0.0002605480201524445,0.00345889777531822,90.62308127938768,214.6395320864575,240.1893242415902,0.9999898620300862,0.0016448161409722334,-0.0023468623230026137,0.0034722106146292727,-91.20168056986617,214.49895481486865,252.40391327660498,0.9999487048395413,0.0018000971675581317,0.009554728086756017,-0.0028352210274703847,-49.60466579530399,-430.0,6.2751045097607925,0.9980213617354401,1.0765597962776763e-24,0.06287545287456711,3.0190287155154547e-24,90.0657701711977,215.0,12.477624885163669,0.9922183843613629,1.2174975421665038e-24,0.1245097272881933,4.442143899085524e-24,-91.90892079572227,215.0,18.239536241971678,0.9829793234928444,6.194081214828217e-25,-0.18371644593764308,3.234377950799651e-27
6,-1.623754892618199e-22,5.7590223948958955e-22,-2.142784759777624e-22,1.0,-1.615711828028403e-25,9.037096218449887e-25,1.688775837521818e-24,1.6479319136576907,-1.0773501474624894,460.25106573332425,0.9994720177025846,0.017784362703071654,0.027190671254838768,0.00021163626346774485,-48.725389168759925,-430.4026485355581,229.99247592938536,0.9999897202998376,0.0018930077161881896,0.00032027585656179406,0.00410714378182562,91.50837233415768,214.48992962351963,245.00820990751976,0.9999835142283497,0.0021395332142086724,-0.003372007730182657,0.0041250539697786255,-92.29793619962614,214.29669369084476,259.1781482812766,0.9999024267333991,0.0023493176107517422,0.013379293983138318,-0.003254787416175261,-49.43237610390715,-430.0,7.512655847500672,0.9971578318176031,-1.026744701294042e-24,0.07534068938521726,1.2890629584213786e-24,90.72869205327272,215.0,14.836805271619898,0.9889053232125559,-1.3392086242536306e-24,0.14854714465286778,1.5473861375983015e-24,-93.28316685408049,215.0,21.452774399074737,0.9760337841759823,-2.3906952617486782e-24,-0.21761921602012413,-9.081641554410638e-25
7,5.669814845839673e-22,5.24954038644614e-22,2.3642555597972045e-22,1.0,-2.2524434486424326e-24,-6.134837898916016e-24,-2.0169720803291415e-24,2.145985774935062,-1.4243786813545127,464.91830024722185,0.999322354106898,0.020362473780047047,0.030660833951870806,0.00026290635749899745,-48.31255030315738,-430.53385860077697,232.44654131577005,0.9999861582093268,0.002336611180799087,0.0003373456530826314,0.0047011603832139825,92.51231639255013,214.32194643859518,249.70260381426144,0.9999747530249465,0.002662295366031464,-0.004589041373216572,0.004725498187723258,-93.53334053945285,214.07534414015004,265.5463808915644,0.9998341999624452,0.0029251233378903008,0.01760318715730095,-0.003619796748069941,-49.23005423287291,-430.0,8.740787741596408,0.9961428127233286,-2.1989636671413162e-24,0.08774633144921268,-2.5094264501848758e-24,91.49226391430966,215.0,17.12497918016872,0.9850754360955825,-4.052905979934613e-24,0.1721231116884232,-2.3039709092582175e-24,-94.81476279389942,215.0,24.45230872899794,0.9682342969824606,3.0887522009720423e-24,-0.25004491927037864,3.1408206820313613e-24
8,-6.097941702237962e-22,3.857842050552837e-22,4.1250363871579263e-22,1.0,1.5014534028892598e-24,-9.430863093537715e-25,-1.5642689203981116e-24,2.64988843842401,-1.793851367061314,469.39057635067064,0.9991787257531164,0.02272417681421331,0.0335462520795535,0.00030473167662299627,-47.87026348343871,-430.67482981340197,234.88554279475585,0.9999824236790309,0.0027861684030056058,0.0002858128156863681,0.005224889573324488,93.61411940842868,214.14031052111977,254.2540218330883,0.9999630409991915,0.0031981409626276307,-0.006002644380515287,0.005257313954685475,-94.88408630106058,213.84374224169022,271.45735511354957,0.9997419561822225,0.003507701361177726,0.022095876626219677,-0.003930054039652426,-48.998340993845865,-430.0,9.958021374038832,0.9949790806454425,1.772131309586606e-24,0.10008272101138037,-1.9512031889206446e-25,92.34718144760811,215.0,19.332987232030693,0.9807696377058457,-1.782648879094446e-24,0.19516888350700787,1.5566706844062266e-24,-96.46390348746885,215.0,27.2200466093182,0.959765343164753,-6.088458085256358e-24,-0.2808034421047181,-2.8068267388503807e-24
9,2.8001458803623987e-24,-3.686694495528445e-22,-1.4643139651881555e-22,1.0,-1.4519822945664055e-24,3.6571657648193754e-24,1.0987679180691545e-24,3.133389053751357,-2.1736153985327764,473.64601154621585,0.9990506449318222,0.02484146362347731,0.03578496760804445,0.0003320480273470425,-47.41087067847419,-430.82140019128747,237.30912545747998,0.9999787245131295,0.0032287390704936686,0.00014046463619717936,0.0056655257576507375,94.7916516748987,213.95016359035216,258.6459352068911,0.9999477371100652,0.003732007254533778,-0.007615981631171257,0.0057072698816360975,-96.32445923016728,213.61081350313611,276.87372621008126,0.9996257539524903,0.004077523897902801,0.02672377220565027,-0.004185695216553234,-48.737961390002546,-430.0,11.162917594623655,0.9936697514103413,-9.301911712578442e-25,0.112340318086375,4.958928840678083e-25,93.28317147762202,215.0,21.45277222946266,0.9760337348207233,-1.727758867952463e-24,0.2176192050157378,1.8032884041601074e-24,-98.18897190198928,215.0,29.744079731042305,0.9508257536988298,7.789632572692103e-25,-0.30972640126290285,3.733434052423402e-24
