,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,PD.rbs_crank.x,PD.rbs_crank.y,PD.rbs_crank.z,PD.rbs_crank.e0,PD.rbs_crank.e1,PD.rbs_crank.e2,PD.rbs_crank.e3
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-250.0,1.0,0.0,0.0,0.0
1,0.0,0.0,0.0,1.0,-8.355937416039895e-26,0.0,0.0,0.0,15.72904717546512,-249.50471386031305,0.999504601477597,0.03147368636865202,0.0,0.0
2,0.0,0.0,0.0,1.0,2.1918822796560236e-26,0.0,0.0,0.0,31.395770021645024,-248.02078700913108,0.9980188348291782,0.06291618740245303,0.0,0.0
3,0.0,0.0,0.0,1.0,1.0727746884233106e-25,0.0,0.0,0.0,46.93809116120648,-245.55410964189352,0.9955441928610278,0.09429634866597834,0.0,0.0
4,0.0,0.0,0.0,1.0,8.056562168760179e-25,0.0,0.0,0.0,62.294426142760834,-242.1144556515057,0.9920831275445318,0.12558307749259642,0.0,0.0
5,0.0,0.0,0.0,1.0,-5.0000079180730345e-25,0.0,0.0,0.0,77.40392746114468,-237.7154542251527,0.9876390682358782,0.15674537379207582,0.0,0.0
6,0.0,0.0,0.0,1.0,6.218183113290046e-25,0.0,0.0,0.0,92.20672565788443,-232.3745358410263,0.9822164182793834,0.18775236076670326,0.0,0.0
7,0.0,0.0,0.0,1.0,4.533292777239425e-25,0.0,0.0,0.0,106.6441665462363,-226.11286320229425,0.9758205506444905,0.2185733155051975,0.0,0.0
8,0.0,0.0,0.0,1.0,9.507509320710082e-25,0.0,0.0,0.0,120.65904362086839,-218.95524738260596,0.9684578026020235,0.24917769942414825,0.0,0.0
9,0.0,0.0,0.0,1.0,-1.0289238478517385e-24,0.0,0.0,0.0,134.1958247312913,-210.9300495154006,0.9601354694449784,0.2795351885268151,0.0,0.0
10,0.0,0.0,0.0,1.0,-1.0305547319368002e-24,0.0,0.0,0.0,147.20087212087228,-202.0690684165575,0.9508617972600659,0.3096157034493054,0.0,0.0
11,0.0,0.0,0.0,1.0,1.0085948339693383e-24,0.0,0.0,0.0,159.62265495955728,-192.40741458567268,0.9406459747571735,0.33938943926436205,0.0,0.0
12,0.0,0.0,0.0,1.0,1.7696194306842524e-24,0.0,0.0,0.0,171.41195352816698,-181.98337108521292,0.9294981241648383,0.3688268950132266,0.0,0.0
13,0.0,0.0,0.0,1.0,-7.312661387190154e-25,0.0,0.0,0.0,182.52205424521293,-170.83824184879782,0.9174292912007568,0.39789890293632124,0.0,0.0
14,0.0,0.0,0.0,1.0,-1.5357745330922534e-24,0.0,0.0,0.0,192.90893476346466,-159.01618801966714,0.9044514341272624,0.4265766573737826,0.0,0.0
15,0.0,0.0,0.0,1.0,-8.047344387831674e-25,0.0,0.0,0.0,202.53143840284673,-146.5640529678225,0.8905774119026217,0.45483174330721343,0.0,0.0
16,0.0,0.0,0.0,1.0,-5.372976023156194e-25,0.0,0.0,0.0,211.35143722849824,-133.53117667918966,0.8758209714398865,0.48263616451437286,0.0,0.0
17,0.0,0.0,0.0,1.0,4.945680353848119e-25,0.0,0.0,0.0,219.33398312781736,-119.96920025226116,0.8601967339859232,0.5099623713089054,0.0,0.0
18,0.0,0.0,0.0,1.0,-1.9643832397707935e-24,0.0,0.0,0.0,226.4474462878696,-105.93186127687561,0.8437201806341235,0.5367832878376274,0.0,0.0
19,0.0,0.0,0.0,1.0,4.73610648112156e-25,0.0,0.0,0.0,232.66364052445937,-91.47478090591935,0.8264076369851414,0.5630723389083199,0.0,0.0
20,0.0,0.0,0.0,1.0,2.2826044227781566e-24,0.0,0.0,0.0,237.9579349662647,-76.65524346365179,0.8082762569708639,0.5888034763214473,0.0,0.0
21,0.0,0.0,0.0,1.0,-7.9917954836793055e-25,0.0,0.0,0.0,242.30935165150174,-61.53196946392733,0.7893440058576368,0.6139512046797125,0.0,0.0
22,0.0,0.0,0.0,1.0,2.622236139950138e-24,0.0,0.0,0.0,245.70064865040388,-46.16488293770063,0.7696296424455904,0.6384906066498738,0.0,0.0
23,0.0,0.0,0.0,1.0,5.857008053325789e-25,0.0,0.0,0.0,248.11838838415434,-30.61487399175004,0.7491527004817015,0.6623973676517934,0.0,0.0
24,0.0,0.0,0.0,1.0,1.2841044339286401e-24,0.0,0.0,0.0,249.55299086956657,-14.943557539449294,0.7279334693050075,0.6856477999502564,0.0,0.0
25,0.0,0.0,0.0,1.0,-1.5223951336978413e-24,0.0,0.0,0.0,249.99877167853674,0.7869708404129794,0.7059929737431525,0.7082188661256854,0.0,0.0
26,0.0,0.0,0.0,1.0,2.658663234473664e-24,0.0,0.0,0.0,249.45396446186058,16.514380949390166,0.6833529532801809,0.7300882019005005,0.0,0.0
27,0.0,0.0,0.0,1.0,-2.913667546172275e-24,0.0,0.0,0.0,247.92072794816514,32.176354944783355,0.6600358405162241,0.7512341382985019,0.0,0.0
28,0.0,0.0,0.0,1.0,-2.9034011946074364e-24,0.0,0.0,0.0,245.4051373902236,47.71083426608973,0.6360647389404207,0.7716357231153217,0.0,0.0
29,0.0,0.0,0.0,1.0,1.994840412409514e-24,0.0,0.0,0.0,241.91716049254663,63.056265534078676,0.6114634000390927,0.7912727416786728,0.0,0.0
30,0.0,0.0,0.0,1.0,-2.3955668271659443e-24,0.0,0.0,0.0,237.47061791563343,78.1518444481514,0.5862561997618635,0.810125736877819,0.0,0.0
31,0.0,0.0,0.0,1.0,1.5094032015806677e-24,0.0,0.0,0.0,232.08312851337922,92.93775671557339,0.5604681143690314,0.828176028442428,0.0,0.0
32,0.0,0.0,0.0,1.0,-4.169089345072191e-24,0.0,0.0,0.0,225.7760395206298,107.35541505792709,0.5341246956841353,0.8454057314516983,0.0,0.0
