,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,FB.rbs_crank.x,FB.rbs_crank.y,FB.rbs_crank.z,FB.rbs_crank.e0,FB.rbs_crank.e1,FB.rbs_crank.e2,FB.rbs_crank.e3,FB.rbs_rocker.x,FB.rbs_rocker.y,FB.rbs_rocker.z,FB.rbs_rocker.e0,FB.rbs_rocker.e1,FB.rbs_rocker.e2,FB.rbs_rocker.e3,FB.rbs_coupler.x,FB.rbs_coupler.y,FB.rbs_coupler.z,FB.rbs_coupler.e0,FB.rbs_coupler.e1,FB.rbs_coupler.e2,FB.rbs_coupler.e3
176,7.270461292328935e-23,-9.647415792489016e-22,-6.921143269620502e-22,1.0,-4.928010401733895e-24,2.8039346137257617e-24,-3.068795128302733e-24,8.772369522225965e-22,98.40163608665104,17.807823077909944,-0.7674888462200274,0.64106232013202,-4.182945136348288e-24,1.2671167886728794e-24,-232.6927285998875,-850.0,329.0262554260053,0.885986228960712,-4.84192904388109e-24,0.4637115498264719,-3.715052012793357e-24,-32.69272859988747,-326.5983639133489,346.83407850391524,0.8823160289956123,0.11420353098304145,0.4522590363782464,0.06275143206811938
177,-2.7478831139254616e-22,-3.579763975328054e-21,-1.2992785951887325e-21,1.0,-4.1065212182392715e-24,-5.520699325025662e-24,3.8481160652553677e-25,2.086087067609353e-23,96.15445280033934,27.46494849589216,-0.7983262473511908,0.6022253002414537,3.9792785950248456e-24,7.72967933497355e-24,-254.77309816329853,-850.0,339.35107156134825,0.9008138864881147,-2.063768830535258e-24,0.4342054261952693,-9.966419670893814e-25,-54.773098163298535,-328.84554719966064,366.8160200572404,0.8973787501067729,0.10956869468358757,0.4226385168281689,0.06389661305632194
178,7.701347954525777e-22,-5.396686684618236e-22,5.072290681698769e-22,1.0,-4.018494458273922e-24,3.714492956966211e-24,-2.9095742604130408e-24,5.365946037279614e-22,92.96196297467723,36.8520628269678,-0.8272003031325279,0.5619072105186624,-3.317040045396799e-24,-6.961208412902023e-24,-279.226451899821,-850.0,348.80331585451006,0.9156653133828059,8.645591176616988e-24,0.40194159419031633,-3.76675294791275e-24,-79.22645189982099,-332.0380370253227,385.6553786814779,0.9126218810910094,0.10379760408348866,0.3901816015099794,0.06407566523678643
179,-1.0583544711482884e-21,-6.588471617097264e-25,-5.64687416796767e-22,1.0,1.8919326034369924e-24,-3.8336589306903903e-25,-7.766829948137189e-25,-1.07557537802324e-21,88.85556793808907,45.87688517892476,-0.8540400690703234,0.5202072546479842,1.2378978373912337e-25,3.770844314079544e-26,-305.5326166527118,-850.0,356.8275713622505,0.9300037875178627,5.491654974411441e-24,0.367549946644845,2.0416667700391123e-24,-105.53261665271181,-336.14443206191095,402.70445654117526,0.9274509140194576,0.097072534693657,0.35554741416882224,0.06322792847145838
180,1.7317946235872928e-22,-8.379843466399553e-23,6.402464319457404e-23,1.0,-4.478319144724303e-24,-2.592908370791785e-24,-1.5907180386655443e-24,1.5804632796468416e-22,83.87563618170077,54.45069263808262,-0.8787795343723673,0.4772279786966465,1.5186713305042882e-24,2.6379716076942846e-24,-333.0940079238686,-850.0,363.00632160380013,0.943385483699396,3.43825424139266e-25,0.3316984080696521,-1.0446205366304994e-24,-133.09400792386862,-341.12436381829923,417.45701424188275,0.9413639385049626,0.08957745238408528,0.3194496532274514,0.06133302553692442
181,3.5985229635935197e-22,1.5421040394711654e-22,1.2680817807204418e-22,1.0,-1.8147559714455742e-24,4.33284104487728e-24,1.2327957459639996e-25,1.102124553234282e-21,78.07112517936277,62.48919656129412,-0.9013578588150588,0.4330750789813753,-4.367182839132661e-24,-5.196101410525018e-25,-361.29326677835786,-850.0,367.085535204575,0.9554846434500344,1.7777278550503688e-25,0.29504084648864404,9.341989256220216e-25,-161.29326677835786,-346.92887482063725,429.57473176586916,0.9539836018469583,0.08148505017894452,0.28260194883942785,0.05840906135961482
182,-7.502073449118651e-22,-2.5007760966856714e-22,4.8276606928582575e-23,1.0,-6.121396505126927e-25,4.419308162550294e-26,6.5639419643138055e-25,-6.45931421349265e-22,71.49909779942772,69.91336987669567,-0.9217195106021546,0.3878571353703793,-2.985469775176316e-25,6.347757525259193e-25,-389.5449724034736,-850.0,368.972483623918,0.9660976606192343,-2.5188159972439237e-24,0.2581769060546853,-1.1265896668895494e-24,-189.5449724034736,-353.5009022005723,438.8858535006136,0.9650657038837277,0.07294853898246462,0.245673823709491,0.054507575906070964
183,-2.0064314557147095e-21,4.398921953727657e-22,-3.752398666985676e-22,1.0,-1.949904825954025e-24,-1.0939114137030687e-23,1.2905997852509771e-24,-3.433579466488025e-21,64.2241644498983,76.65022666638298,-0.939814421582424,0.34168535284742935,9.478809032408387e-24,5.187763561190721e-24,-417.3334806439125,-850.0,368.71337463249955,0.9751315262221353,-3.820438409220339e-24,0.22162697169522605,-2.0172049481675095e-24,-217.33348064391245,-360.7758355501017,445.36360129888254,0.9744898315154278,0.06409811898623353,0.20926117876915695,0.04970682325187813
184,5.713188405053226e-22,3.274504265165939e-22,-5.738728026133742e-22,1.0,1.518178980129188e-24,6.481627536687381e-24,2.2508200218943277e-24,1.5886683879127312e-21,56.31784306395901,82.63353495964657,-0.9555980789436707,0.2946732748051028,-6.190417635228805e-24,-2.812622293468416e-24,-444.234244805393,-850.0,366.4605480463962,0.9825835105625264,-2.881900547750679e-26,0.18582155678229717,-1.6287595472330623e-25,-244.234244805393,-368.682156936041,449.09408300604275,0.9822393117165842,0.05504115587957706,0.1738711729757667,0.04410474589625825
185,2.8008783802295904e-22,3.405757274153624e-22,-1.1174906411474548e-21,1.0,-1.1182478877269058e-24,-1.8116497256869772e-24,-7.914590601678845e-25,5.769136000203873e-23,47.85786157889442,87.80447387462226,-0.9690316728857279,0.24693651878465625,1.48793141421764e-24,1.3358482919880595e-24,-469.92034413807613,-850.0,362.4377830742738,0.9885181946887965,-2.2551602277264544e-24,0.15110189573475227,1.2735236245033216e-24,-269.92034413807613,-377.1421384211056,450.24225694889606,0.9883771602203713,0.045864688537604725,0.13991867341835418,0.037812559438766
