,0,1,2,3
P_rbs_coupler,1.0,0.0,0.0,0.0
Rd_rbs_coupler,0.0,0.0,0.0,0.0
Pd_rbs_coupler,0.0,0.0,0.0,0.0
P_rbr_rocker,1.0,0.0,0.0,0.0
Rd_rbr_rocker,0.0,0.0,0.0,0.0
Pd_rbr_rocker,0.0,0.0,0.0,0.0
ax1_jcs_rc_sph,0.0,0.0,1.0,0.0
hpr_rocker_chassis,693,293,108,0
hpr_rocker_coupler,525,300,108,0
